<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR;IATR;0.2815;0.2102;0.1782;0.1598;0.1704
20241101;000000;0.0733;0.07464;0.0726;0.07438;1393360000;0.00204;0.00290618;;;;;
20241102;000000;0.07436;0.0747;0.0725;0.0733;1688060000;0.0022;0.002688796;;;;;
20241105;000000;0.0736;0.07412;0.073;0.07348;1191670000;0.00112;0.00250056;;;;;
20241106;000000;0.07422;0.07626;0.07406;0.07504;2870830000;0.0022;0.002123352;;;;;
20241107;000000;0.07504;0.0765;0.07372;0.0762;1276470000;0.00278;0.002165748;;;;;
20241108;000000;0.0766;0.07828;0.075;0.07814;3644920000;0.00328;0.00214377;;;;;
20241111;000000;0.0785;0.0805;0.07808;0.08034;2227380000;0.00242;0.002453572;;;;;
20241112;000000;0.08044;0.0806;0.07806;0.07818;1441050000;0.00254;0.00240849;;;;;
20241113;000000;0.07806;0.0825;0.07806;0.0805;7515730000;0.00444;0.002627314;;;;;
20241114;000000;0.0801;0.08276;0.08;0.08122;4078570000;0.00276;0.003212868;;;;;
20241115;000000;0.08124;0.08382;0.0804;0.08358;3465600000;0.00342;0.003108484;;;;;
20241118;000000;0.08146;0.08294;0.0807;0.08186;3643320000;0.00224;0.00315235;;;;;
20241119;000000;0.0818;0.0823;0.07632;0.078;4599840000;0.00598;0.002983604;;;;;
